maneuverId,secondsSinceStart,timeJulianDay,TimeUtcYear,TimeUtcMonth,TimeUtcDay,TimeUtcHour,TimeUtcMinute,TimeUtcSeconds,dVEciX,dVEciY,dVEciZ,dVLvlhX,dVLvlhY,dVLvlhZ,dVBodyX,dVBodyY,dVBodyZ,dVMagnitude,WaypointX,WaypointY,WaypointZ,WaypointTransferTime
11,814526.099,2460754.98317244,2025,3,20,11,35,46.099,0.137563639986448,-0.0166397359317821,-0.00178009577165324,-0.136626617774799,-0.0231273583156981,-0.00144817537367103,0.00901230260403593,0.0392905203786195,-0.132585210371698,0.138577792590143,2500,0,0,21543
12,836068.719,2460755.23250832,2025,3,20,17,34,48.719,0.0035485320800224,-0.0149383179069308,-0.0001293579307813,0.0132573764580774,0.00774623167363497,4.42638948967844e-06,0.0149367303298475,0.00105739955911085,-0.00339678502580602,0.0153545483582466,0,-5000,1000,21543
13,857611.89,2460755.48185058,2025,3,20,23,33,51.89,0.00413015149258262,-0.00267916599373234,-0.000161099238411873,0.00472712227042396,-0.00137799488263848,-0.000132211505381012,0.00285408218688893,0.000471799724357355,-0.00398668466634254,0.0049256506918651,-2500,0,0,21543
14,879154.455,2460755.73118582,2025,3,21,5,32,54.455,0.00316626999635083,-0.0223299518710306,0.109332270322064,-0.0196811160653115,-0.00889065673209999,0.109525372600713,0.0211781903909955,0.105964730772292,0.0280206608442358,0.111634212273968,0,-2000,-500,64628.9
15,943783.635,2460756.47920874,2025,3,21,23,30,3.635,0.0942123289898953,-0.0216575150386262,0.000387892176290688,0.0964594647208805,0.00634241370194048,0.00071190300157298,0.0135534159186356,0.0317986695375022,-0.0902790722386435,0.0966703747364673,-1000,0,0,21543
16,965326.165,2460756.72854357,2025,3,22,5,29,6.165,-0.00173639883833571,0.00837262077617928,7.25893089748602e-05,0.00755120853159953,0.00401252701758131,-2.33253903011293e-06,-0.00839311006508094,-0.000429816486249741,0.00157863549271033,0.00855108933383694,0,2000,500,21543
17,986869.144,2460756.97788361,2025,3,22,11,28,9.144,-0.0766233110490603,0.11606143687577,0.0678108499977277,0.106631496035349,-0.0901196382481772,0.0666923920584998,-0.103215219476931,0.0726860989790823,0.0894597663015941,0.154724595017094,1000,0,1000,10771.5
18,997640.479,2460757.10255184,2025,3,22,14,27,40.479,0.168686134752144,-0.155130415163056,0.00704045361942289,-0.0750616466382509,0.216474710980157,0.00862985883196651,0.166425528649989,-0.100556046561585,-0.121495064372689,0.229281542548562,1000,0,1000,10771.3
19,1008411.772,2460757.22721958,2025,3,22,17,27,11.772,0.0426523029767901,0.140578887917158,0.0612157265635998,-0.14738225967745,-0.000265703857511141,0.0600616915328472,-0.0465774597929766,0.148142554375448,-0.0348329108503599,0.1591508964975,1000,0,1000,10771.3
20,1019183.065,2460757.35188733,2025,3,22,20,26,43.065,-0.160594410388537,0.0334979504944638,0.000967983546001873,-0.105249313159785,-0.125841192582091,0.000436642219096915,0.0132888707558624,0.0663181885089578,0.149462095912111,0.164053693428453,-1000,0,-1000,32314.5
21,1051497.583,2460757.72589795,2025,3,23,5,25,17.583,0.148893192770006,0.0631130557302342,0.000102530175898891,0.102245482839902,-0.125292719683596,-0.00021633865526972,-0.0662293052764741,-0.0286866613826332,-0.144717676013003,0.161717195032843,-1000,0,-1000,10771.3
22,1062268.876,2460757.8505657,2025,3,23,8,24,48.876,-0.0711070833777392,0.129315882401873,-0.0593221161045926,0.147078311209592,0.000318229315846616,-0.0605458281702995,-0.059120110920273,-0.117154801907259,0.0898748745859257,0.159053224447009,-1000,0,-1000,10771.3
23,1073040.17,2460757.97523344,2025,3,23,11,24,20.17,-0.15769743734383,-0.0497171677364763,-0.0155072619409195,0.13712125307688,0.0924327199365848,-0.0153201803254309,-0.0744866377258333,0.0798567661533809,0.125121506485805,0.166074542556806,0,500,200,21543
24,1094583.014,2460758.22457192,2025,3,23,17,23,23.014,0.00615301809263895,-0.0603508720815531,-0.0626777291406502,0.0564574367515581,0.0236465300398601,-0.0621448676513101,0.0166101581911437,-0.0651649303123917,0.0555537543747257,0.0872272040299415,429.65,187.78,242.64,7181.1
25,1101763.877,2460758.30768376,2025,3,23,19,23,3.877,-0.00430336856534755,0.0373736768476876,-0.0255930268715519,-0.037149341396728,0.00428061823370288,-0.0259213515831876,-0.0427148379199568,0.0027010281617505,0.0154421758477824,0.0455007002866174,429.65,-303.02,48.11,7181.1
26,1108944.739,2460758.39079559,2025,3,23,21,22,44.739,-0.0251275268176702,0.0404833306647646,-0.00473742141614322,-0.0466767243857139,0.00936724021806202,-0.00512582078078801,-0.0411662399222821,0.00205634119509856,0.0243689962639002,0.0478825211048827,0,-490.81,-194.53,7181.1
27,1116125.601,2460758.47390742,2025,3,23,23,22,25.601,-0.00661883286876955,0.00550606440078258,0.0207738337578554,-0.00800210038384792,0.00353912990043714,0.0207151831206952,-0.0121877318754118,0.0146687472487977,0.0119149027949556,0.0224872822441771,-429.65,-187.78,-242.64,7181.1
28,1123306.463,2460758.55701925,2025,3,24,1,22,6.463,0.0390883803488637,0.00323252983629052,0.0257796155976557,0.0387740765066419,-0.0057656221922396,0.025812165728514,-0.0334183727440472,0.0316563231329159,-0.00916672660480148,0.0469354802660294,-429.65,303.02,-48.11,7181.1
29,1130487.325,2460758.64013108,2025,3,24,3,21,47.325,0.0403008009715572,0.0257770424800206,0.00528598409656791,0.0469743870917669,-0.00914729843665222,0.0051269868830226,-0.0449556642692501,0.017140341311713,-0.00132251868171361,0.0481305735041151,0,490.81,194.53,7181.1
30,1137668.188,2460758.72324291,2025,3,24,5,21,28.188,0.0296000375528513,-0.0242083776976541,0.0160459296321507,-0.0148469030221072,-0.0351217752729314,0.0163006136072318,0.0116104826026329,-0.0397709776421637,0.00177360163590717,0.0414690201432638,156.23,86.84,496.24,7181.1
31,1144849.05,2460758.80635474,2025,3,24,7,21,9.05,-0.0061644158095248,0.0270237096920221,-0.0527492627821318,0.0272516045634283,-0.000428478812564539,-0.0529899243863918,-0.0440863349232164,0.0393700216566376,-0.00756056212484777,0.0595883011324354,156.23,-403.43,301.72,7181.1
32,1152029.912,2460758.88946658,2025,3,24,9,20,49.912,-0.0331873992628853,-0.024005356410067,-0.03248812590178,0.00535143699515243,0.0407319396760099,-0.0323328028963656,-0.0299537735900286,0.000336656704259429,0.0428462021747459,0.0522794312403876,0,-490.27,-194.51,7181.1
33,1159210.774,2460758.97257841,2025,3,24,11,20,30.774,0.00909676239688448,-0.045807997080061,0.0203428404601606,-0.021591520856161,0.0412087227687714,0.0207509574589776,-0.0481894945952597,0.00150529159668307,-0.0164457152000814,0.0509406992549159,-156.23,-86.84,-496.24,7181.1
34,1166391.637,2460759.05569024,2025,3,24,13,20,11.637,0.026223270592165,0.00530700754355103,0.0531792615484529,-0.0267627918033455,0.000455133923178114,0.0531733385867272,-0.0419088221960348,-0.0180757647957745,-0.0382200923291003,0.0595303125177079,-156.23,403.43,-301.72,7181.1
35,1173572.499,2460759.13880207,2025,3,24,15,19,52.499,-0.023930835745031,0.033072104724591,0.0327043025001034,-0.00538697911170246,-0.0407248445829279,0.0323803629092492,-0.0515452703045756,-0.005800340535658,-0.00674251965417061,0.0523069824439169,-0,490.27,194.51,7181.1
36,1180753.361,2460759.2219139,2025,3,24,17,19,33.361,-0.00955630910733066,-0.00319545351436961,-0.0753433406958125,0.00641347698777528,-0.0079171474749849,-0.075328208812564,-0.0193609203419119,-0.0166291569330431,0.0716015283170198,0.0760141628522121,250,0,0,15510.9
37,1196263.78,2460759.40143264,2025,3,24,21,38,3.78,0.00149804620917252,-0.00177413108074802,0.0196733898178938,0.00216338625707403,-0.00021270782988829,0.0196903140082912,0.00171028412718206,0.0122090159747677,-0.015506411822065,0.0198099457460969,0,-500,50,15510.9
38,1211775.029,2460759.58096099,2025,3,25,1,56,35.029,0.0079132537587265,0.0117302907255698,-0.00160723459180638,0.0118899260547607,0.00765237833824071,-0.00169507308698869,-0.0118034854934622,-0.00362067853437554,-0.00709724775852068,0.0142408745724933,-250,0,0,21543
39,1233317.324,2460759.8302931,2025,3,25,7,55,37.324,-2.93660732298701e-05,-0.000364733277851292,-3.65846030634809e-06,-0.000323098272405943,0.000171794327797764,-5.74339370553508e-07,0.000363307708838896,1.74727028518774e-05,4.01039638213634e-05,0.000365931844147108,0,500,-50,21543
40,1254860.279,2460760.07963286,2025,3,25,13,54,40.279,-0.000236698177164085,-0.000102811595102543,-1.33095250273242e-05,0.000258076729279171,2.3591489704255e-06,-1.28152579951887e-05,8.61574270916719e-05,9.16854316881958e-05,0.000225707939580944,0.000258405484881383,175.35,363.74,-36.76,10340.6
41,1265200.68,2460760.19931343,2025,3,25,16,47,0.68,0.0293819957421757,0.00352566702744768,-0.00258328619333378,-0.0151566625359507,0.0254185000308436,-0.00256530822546594,9.66694338820674e-05,-0.0210840077435823,-0.0209251198760592,0.0297053087736575,175.35,363.74,-36.76,900
42,1266100.68,2460760.2097301,2025,3,25,17,2,0.68,0.000881223885606738,0.00236106665661374,-0.000156715265297033,-0.00251889859963841,9.96717413299468e-06,-0.000175503470317786,-0.00220525911973084,-0.00108309054517235,-0.000582664615122927,0.00252502494401821,175.35,363.74,-36.76,900
43,1267000.68,2460760.22014676,2025,3,25,17,17,0.68,-0.0245887986968702,0.00207806747625402,-0.00473664253509996,0.00503052183916989,-0.0241468296960846,-0.00479454210017064,-0.00499337648269881,0.0142720125137112,0.0200683586375889,0.0251269410851458,0,200,50,68937.5
44,1335934.627,2460761.01799337,2025,3,26,12,25,54.627,0.00420574618575575,0.0014839189761657,0.00402707328361058,-0.00424535262409674,-0.00138350275024439,0.00402126062019548,-0.000248931844645182,0.00408961281388474,-0.00439553588401062,0.00600896295032627,100,0,0,21543
45,1357477.985,2460761.26733779,2025,3,26,18,24,57.985,-8.0023832615534e-05,0.000212264978020458,-1.02304635781859e-05,-0.00021417299141828,-7.44754567362591e-05,-1.21751039584899e-05,-0.000215494322889403,-9.77036920781596e-06,7.09340098507771e-05,0.00022707905466055,0,-200,-50,21543
46,1379019.74,2460761.51666366,2025,3,27,0,23,59.74,0.00010406918295384,-5.80821361457336e-05,-1.34367693292603e-06,0.000102181095430088,-6.13539250573506e-05,-6.74139744915924e-07,5.90588041520424e-05,1.10119770456371e-05,-0.000102939442689906,0.000119187813335221,-100,0,0,21543
47,1400563.295,2460761.76601036,2025,3,27,6,23,3.295,-6.31492220751819e-05,-8.25033432710474e-05,-1.46692230626172e-06,-8.00671497195621e-05,6.62213892267793e-05,-8.70003054112122e-07,7.94435577229665e-05,1.67387158999946e-06,6.69529465436094e-05,0.000103907544291324,0,200,50,21543
